,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1
1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1
2,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0
3,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
4,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
5,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0
6,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
8,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
9,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
10,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
11,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1
12,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0
13,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
14,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1
15,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1
16,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
17,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
18,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
19,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0
